year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
1976,0.12812,0.575667,280248.9444,0.712056,0,0.10361,5.333333,0.170089,-5.497556,0.888889,52.888889,0.099111,124.458667,0.476578
1977,0.05437,0.449375,307744.875,0.7925,0,0.27645,9.375,0.195938,-4.962125,0.875,52,0.103575,143.16225,0.443125
1978,0.003973,0.398211,293355.7895,0.885211,0,0.459764,5.631579,0.550253,-4.220789,1,41.789474,0.084105,143.901579,0.358811
1979,0.021738,0.4747,250040.1,0.8752,0,0.104844,4.6,0.30741,-4.6945,0.7,57.6,0.08926,137.3684,0.5537
1980,0.027623,0.4559,252812,0.8469,0,0.012065,5.7,0.32925,-5.0046,0.9,65.1,0.0574,129.7218,0.5923
1981,0.000277,0.4198,241014.8,0.9119,0,0.49217,5,0.1587,-4.7325,0.9,42.7,0.05706,124.6228,0.553
1983,0.001205,0.4081,222993.4,0.8834,0,0.267447,6.3,0.23529,-4.1317,1,39.5,0.04648,133.6191,0.6477
1984,0.003816,0.593,292783.8,0.765,0,0.1389,6.2,0.1346,-5.6678,0.8,43.8,0.06194,129.5176,0.6714
1985,0.027674,0.4628,243037.4,0.9292,0,0.47963,5.7,0.21175,-4.5499,0.7,40.7,0.05454,109.0644,0.4477
1986,0.049209,0.482889,252746.5556,0.807556,0,0.352504,3.222222,0.210844,-5.891889,0.777778,48.888889,0.061678,121.072556,0.471333
1988,0.04471,0.460286,261609.5714,0.894429,0,0.028507,3.857143,0.210214,-4.914286,0.714286,38.571429,0.064843,125.225143,0.438857
1990,0.007509,0.5115,233553.3333,0.859333,0,0.017481,5.5,0.106508,-3.971833,1,51.833333,0.042667,122.109083,0.519167
1992,0.000597,0.362857,328377.1429,0.966857,0,0.360763,5.285714,0.872429,-4.960714,1,40.285714,0.132814,126.871429,0.326714
1995,0.003437,0.454,282206.75,0.74125,0,0.050416,5.5,0.1815,-6.2915,1,50.25,0.046275,141.64025,0.5205
2000,0.0344,0.588,214560,0.851,0,0.00773,7,0.16,-4.206,1,61,0.033,123.691,0.706
2008,0.000523,0.5325,225647,0.8245,0,0.1279,5.5,0.264,-3.3555,1,63,0.0479,122.9965,0.614
2009,0.00555,0.569,259413,0.901,0,0.26,9,0.16,-5.197,1,58,0.0544,133.194,0.839
2010,0.000243,0.474,305106.5,0.8945,0,0.0586,3,0.286,-5.4885,1,61.5,0.0527,137.3205,0.3615